"source_path","source_sha256","source_revision","function_name","classification","matlab_signature","matlab_arguments","optional_arguments","default_arguments","output_arity","variable_output_arity","output_arity_semantics","output_names","output_semantics","documentation_url","author_annotation","declared_dependencies","unresolved_declared_dependencies","inferred_dependencies","upstream_calls","external_toolboxes","sparse_support","sparse_primitives","densification","direct_rng_calls","uses_global_rng_via","random_behavior","mathematical_category","proposed_julia_name","proposed_julia_signature","compatibility_alias","implementation_status","test_status","documentation_status","benchmark_status","license_provenance_status","review_status","review_notes","known_numerical_or_semantic_ambiguities","line_count"
"AbsPPTConstraints.m","e7cdc38ce5b16a68165f0b983a6033496147fd8a6c1df4a33743c15bd11a5b75","d8589610f00cff106537268dee2e2a1153f3a601","AbsPPTConstraints","public","function L = AbsPPTConstraints(lam,varargin)","lam;varargin","DIM;ESC_IF_NPOS;LIM","DIM=has both subsystems of equal dimension;ESC_IF_NPOS=0;LIM=0","1","false","exactly_1_outputs","L","Builds the eigenvalue matrices that determine whether or not a state is absolutely PPT","http://www.qetlab.com/AbsPPTConstraints","Nathaniel Johnston (nathaniel@njohnston.ca)","IsPSD;opt_args;perm_inv","","IsPSD;opt_args;perm_inv","IsPSD;opt_args;perm_inv","CVX","not_declared","","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","entanglement","abs_ppt_constraints","abs_ppt_constraints(spectrum; dims=nothing, stop_on_violation=false, max_constraints=2612, max_work=500000000, max_entries=1000000, sparse_output=false, atol=nothing, rtol=nothing, allow_densify=false)","AbsPPTConstraints","verified","local-197-native-and-24-compatibility-assertions-plus-28-integrated-source-free-pinned-octave-fixture-assertions-pass-on-julia-1.12.6-and-1.10.11","native-and-compatibility-docstrings_absolute-ppt-guide_api-reference_migration-and-oracle-contract-present","local_quick-smoke-case-present","qetlab-bsd-2-clause-license-verified","manually_reviewed_wp3_mapping","Focused Julia 1.12.6 and 1.10.11 tests, a source-free seven-matrix Octave 11.3.0 fixture from the pinned source, affine model evaluation, sparse/type policy, combinatorial guards, and exact low-dimensional formulas pass; MATLAB was not run.;Scalar DIM is made consistent in the native API, while MATLABCompat.AbsPPTConstraints preserves the pinned equal-local-dimension scalar behavior and positional ESC_IF_NPOS/LIM arguments.;The QETLAB monotone and criss-cross enumeration is independently checked through p=6, including counts 1, 2, 10, 114, and 2612 and direct six-index predicate comparisons.;The solver-independent native family retains every explicit product ordering, numeric or affine Hermitian matrix, criss-cross count, exhaustion state, work/storage count, and active limit; it never stores a JuMP or solver object.","CVX solver status and failure semantics require an explicit Julia design;MATLAB varargin/default semantics require manual review","199"
"AdditiveCompoundMatrix.m","f6572fa5d25ff7817ff8774b3879dab9a3a5ecb91509377455f207a9bb209dfb","d8589610f00cff106537268dee2e2a1153f3a601","AdditiveCompoundMatrix","public","function comp = AdditiveCompoundMatrix(A, r)","A;r","","","1","false","exactly_1_outputs","comp","Computes the r-th additive compound matrix of a given square matrix","https://qetlab.com/AdditiveCompoundMatrix","Nathaniel Johnston","","","AntisymmetricProjection;KroneckerSum","AntisymmetricProjection;KroneckerSum","","not_declared","","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","linear_algebra_and_matrix_analysis","additive_compound_matrix","additive_compound_matrix(matrix, order; sparse_output=issparse(matrix))","AdditiveCompoundMatrix","verified","local_derivative_eigenvalue-sum_exact_sparse_overflow_invalid_jet_wrapper_and-reviewed-order-zero-discrepancy-octave-tests-pass_matlab_not_run","api_docstrings_focused_page_and_migration_mapping_present","local_quick_smoke_recorded","qetlab-bsd-2-clause-license-verified","manually_reviewed_tier_e_mapping_with-native-defined-order-zero-and-pinned-compatibility-error","Local derivative, eigenvalue-sum, exact, sparse, wrapper, JET, benchmark, and reviewed Octave order-zero discrepancy tests pass; MATLAB was not run.;MATLABCompat.AdditiveCompoundMatrix reproduces the reviewed pinned dependency-path error at order zero; positive orders delegate to the native implementation.;The native exterior-action implementation defines order zero as the 1-by-1 additive zero and preserves sparse output and checked exact arithmetic.","","32"
"AntisymmetricProjection.m","e5166c041d899333a08e705eb97ec8fd14e6e2032b5282d89aa8a06632d614d0","d8589610f00cff106537268dee2e2a1153f3a601","AntisymmetricProjection","public","function PA = AntisymmetricProjection(dim,varargin)","dim;varargin","P;PARTIAL;MODE","P=2;PARTIAL=0;MODE=-1","1","false","exactly_1_outputs","PA","Produces the projection onto the antisymmetric subspace","http://www.qetlab.com/AntisymmetricProjection","Nathaniel Johnston (nathaniel@njohnston.ca)","","","asum_vector;glob_ind;opt_args;perm_sign;PermutationOperator;sporth","asum_vector;glob_ind;opt_args;perm_sign;PermutationOperator;sporth","","explicit","sparse;speye","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","linear_algebra_and_matrix_analysis","antisymmetric_projector","antisymmetric_projector(local_dimension, copies=2; T=Float64, sparse_output=true); antisymmetric_subspace_basis(local_dimension, copies=2; T=Float64, sparse_output=true)","AntisymmetricProjection","verified","local_projector_basis_property_and_wrapper_tests_pass_matlab_differential_not_run","api_docstring_and_migration_mapping_present","not_started","qetlab-bsd-2-clause-license-verified","manually_reviewed_tier_a_mapping","Projector, idempotence, orthonormal-basis, empty-subspace, exact-rational, and compatibility-wrapper tests pass locally; MATLAB differential parity has not been run.;The native API separates projector and orthonormal-basis outputs; the wrapper preserves the QETLAB PARTIAL selector.","MATLAB varargin/default semantics require manual review","104"
"ApplyMap.m","555a1d21c7853d1939161e245d269d4caa151d580011ee2c248bc3b59145ef94","d8589610f00cff106537268dee2e2a1153f3a601","ApplyMap","public","function PhiX = ApplyMap(X,Phi)","X;Phi","","","1","false","exactly_1_outputs","PhiX","Applies a superoperator to an operator","http://www.qetlab.com/ApplyMap","Nathaniel Johnston (nathaniel@njohnston.ca)","opt_args;PermuteSystems;Swap","","Swap","opt_args;PermuteSystems;Swap","","explicit","issparse;speye","explicit_full_call","","","deterministic_no_direct_or_transitive_rng_calls_detected","quantum_channels_and_maps","apply_channel","apply_channel(input, map::AbstractMapRepresentation); apply_channel(input, kraus_operators)","ApplyMap","verified","local_analytic_property_invalid_sparse_generic_and_compatibility_branch_tests_pass_matlab_not_run","complete_native-compatibility-docstrings_general-map-guide_and-migration-contract-present","local_direct-preallocated-rectangular-operator-sum-quick-smoke-recorded","qetlab-bsd-2-clause-license-verified","manually_reviewed_wp1_mapping","Homogeneous dense two-sided factors use a reusable preallocated direct kernel; sparse or mixed-storage cases retain natural generic matrix products and never construct a global superoperator.;Local exact, floating, BigFloat, sparse, invalid-shape, representation, compatibility, and Julia 1.10 tests pass; the prior Tier C Octave fixture covers the square CP slice, while MATLAB was not run.;Pinned CP one-column, CP one-row with more than two entries, general two-column factor, and raw generalized-Choi branches are implemented over rectangular row/column operator spaces.","calls full(...); densification conditions and size limits require review","42"
"BCSGameLB.m","f0c3e510f545cd902cfc212835bd17d294c978dc142828f4cbd10d9548f4a298","d8589610f00cff106537268dee2e2a1153f3a601","BCSGameLB","public","function bcslb = BCSGameLB(d,C,varargin)","d;C;varargin","VERBOSE","VERBOSE=1","1","false","exactly_1_outputs","bcslb","Computes a lower bound on the quantum value of a binary constraint system (BCS) game","http://www.qetlab.com/BCSGameLB","Nathaniel Johnston (nathaniel@njohnston.ca)","bcs_to_nonlocal;CVX;NonlocalGameLB;opt_args","","bcs_to_nonlocal;NonlocalGameLB;opt_args","bcs_to_nonlocal;NonlocalGameLB;opt_args","CVX","not_declared","","none_detected","","NonlocalGameLB","implicit_matlab_global_rng_transitive_via:NonlocalGameLB","nonlocality_and_games","bcs_game_lower_bound","bcs_game_lower_bound(rng::AbstractRNG, local_dimension, constraints; coefficient_type=Float64, backend=NoOptimizationBackend(), max_iterations=100, ...)","BCSGameLB","verified","local-187-native-30-compatibility-and-101-hypatia-scs-extension-assertions-pass-on-julia-1.10-and-1.12_matlab-and-cvx-not-run","native-and-compatibility-docstrings_nonlocal-optimization-guide_api-reference_and-migration-contract-present","local_quick-smoke-case-declared_not-yet-recorded","qetlab-bsd-2-clause-license-verified","source_reviewed_and_completed_wp9_2026_07_30","A numerical see-saw candidate is never labeled a certified lower bound and compatibility scalar output rejects it.;Exact rational BCS-to-nonlocal conversion is separated from the explicit Float32 or Float64 solver coefficient policy.;The mandatory caller RNG, bounded initialization and iterations, preflight resource limits, solver statuses, owned POVMs, and independently re-evaluated objective replace upstream global randomness and unchecked cvx_optval use.","CVX solver status and failure semantics require an explicit Julia design;MATLAB varargin/default semantics require manual review;transitively uses implicit MATLAB global RNG via NonlocalGameLB","45"
"BCSGameValue.m","42f9188009aeb5aa81609234b0fa5a26c07f7ba29d4a4fccb7de93f170833e63","d8589610f00cff106537268dee2e2a1153f3a601","BCSGameValue","public","function bcsval = BCSGameValue(C,varargin)","C;varargin","MTYPE;K","MTYPE='classical';K=1","1","false","exactly_1_outputs","bcsval","Computes the maximum value of a binary constraint system (BCS) game","http://www.qetlab.com/BCSGameValue","Nathaniel Johnston (nathaniel@njohnston.ca)","bcs_to_nonlocal;CVX;NonlocalGameValue;opt_args","NonlocalGameValue","bcs_to_nonlocal;opt_args","bcs_to_nonlocal;opt_args","CVX","not_declared","","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","nonlocality_and_games","bcs_game_value","bcs_game_value(constraints; regime=:classical, max_entries=1000000, level=1, backend=NoOptimizationBackend(), ...)","BCSGameValue","verified","local-187-native-30-compatibility-and-101-hypatia-scs-extension-assertions-pass-on-julia-1.10-and-1.12_matlab-and-cvx-not-run","native-and-compatibility-docstrings_nonlocal-optimization-guide_api-reference_and-migration-contract-present","local_quick-smoke-case-declared_not-yet-recorded","qetlab-bsd-2-clause-license-verified","source_reviewed_and_completed_wp9_2026_07_30","The classical branch is exact and guarded. Numerical relaxation values are retained with status and only objective-bound or dual evidence may populate an upper-bound field.;The missing pinned NonlocalGameValue dependency is independently reconstructed through a typed nonlocal game plus exact classical, no-signalling, and finite-NPA dispatch.;The pinned entry point is not executable from the recorded source tree because its dependency is absent; this deviation and reconstruction are documented explicitly.","CVX solver status and failure semantics require an explicit Julia design;declared dependency absent at pinned revision: NonlocalGameValue;MATLAB varargin/default semantics require manual review","48"
"Bell.m","08018c2def832b76184177113091cf0eedd1019034490f0ffb1897fb70295f30","d8589610f00cff106537268dee2e2a1153f3a601","Bell","public","function phi = Bell(varargin)","varargin","IND;SP;NRML","IND=0;SP=0;NRML=1","1","false","exactly_1_outputs","phi","Produces a Bell state","http://www.qetlab.com/Bell","Nathaniel Johnston (nathaniel@njohnston.ca)","iden;opt_args","","iden;opt_args","iden;opt_args","","not_declared","","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","nonlocality_and_games","bell_state","bell_state(index=0; normalized=true, sparse_output=false, T=Float64)","Bell","verified","local_exact_orthogonality_wrapper_and_octave_fixture_tests_pass_matlab_not_run","api_docstring_focused_page_and_migration_mapping_present","not_started","qetlab-bsd-2-clause-license-verified","manually_reviewed_tier_b_mapping","Function-specific Octave/QETLAB evidence is supplemental and MATLAB was not run.;The native index is validated in 0:3; the wrapper retains QETLAB's modulo-four behavior.","MATLAB varargin/default semantics require manual review","41"
"BellInequalityMax.m","fac680c2990af158c5b44a774079de8105aab89ab8f057233aae55ced61a8df0","d8589610f00cff106537268dee2e2a1153f3a601","BellInequalityMax","public","function bmax = BellInequalityMax(coefficients,desc,notation,varargin)","coefficients;desc;notation;varargin","MTYPE;K","MTYPE='classical';K=1","1","false","exactly_1_outputs","bmax","Computes the maximum value of a Bell inequality","http://www.qetlab.com/BellInequalityMax","Nathaniel Johnston (nathaniel@njohnston.ca) and Mateus Araújo","CVX","","CG2FC;CG2FP;FC2CG;FP2CG;FP2FC;NPAHierarchy;opt_args","CG2FC;CG2FP;FC2CG;FP2CG;FP2FC;NPAHierarchy;opt_args","CVX;MATLAB Parallel Computing Toolbox","not_declared","","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","nonlocality_and_games","bell_inequality_bound","bell_inequality_bound(coefficients, scenario; notation=:collins_gisin, regime=:classical, level=1, backend=NoOptimizationBackend(), max_strategies=1000000, max_work=100000000, ...)","BellInequalityMax","verified","local-187-native-30-compatibility-101-hypatia-scs-and-30-source-free-pinned-octave-oracle-assertions-pass-on-julia-1.10-and-1.12_matlab-and-cvx-not-run","native-and-compatibility-docstrings_nonlocal-optimization-guide_api-reference_and-migration-contract-present","local_quick-smoke-case-declared_not-yet-recorded","qetlab-bsd-2-clause-license-verified","source_reviewed_and_completed_wp9_2026_07_30","A solver primal objective alone is never labeled an upper bound; only an objective bound or dual objective can populate that field.;The classical maximum is exact and guarded by strategy and scalar-work budgets. No-signalling and finite-NPA branches retain solver-neutral models and status-rich numerical upper evidence.;Typed full-probability, Collins-Gisin, and binary full-correlator inputs are converted to a canonical Bell functional with checked scenario dimensions and storage limits.","CVX solver status and failure semantics require an explicit Julia design;MATLAB varargin/default semantics require manual review","194"
"BellInequalityMaxQubits.m","4dfe24e80ec4c2767a1f42a9bfbc3d6b1fa08682998bbdd911c12be362f2f90e","d8589610f00cff106537268dee2e2a1153f3a601","BellInequalityMaxQubits","public","function [bmax,rho] = BellInequalityMaxQubits(joint_coe,a_coe,b_coe,a_val,b_val)","joint_coe;a_coe;b_coe;a_val;b_val","","","2","false","exactly_2_outputs","bmax;rho","Approximates the optimal value of a 2-outcome Bell inequality in qubit (i.e., 2-dimensional quantum) settings","http://www.qetlab.com/BellInequalityMaxQubits","Nathaniel Johnston (nathaniel@njohnston.ca)","CVX;PartialTranspose;PermutationOperator;Swap","","PartialTranspose;PermutationOperator;Swap","PartialTranspose;PermutationOperator;Swap","CVX","explicit","sparse;speye","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","nonlocality_and_games","bell_inequality_qubit_bound","bell_inequality_qubit_bound(joint, alice, bob, alice_values, bob_values; backend=NoOptimizationBackend(), max_dimension=256, max_ppt_constraints=127, limits=OptimizationLimits())","BellInequalityMaxQubits","verified","local-187-native-30-compatibility-and-101-hypatia-scs-extension-assertions-pass-on-julia-1.10-and-1.12_matlab-and-cvx-not-run","native-and-compatibility-docstrings_corrected-rectangular-model_nonlocal-optimization-guide_api-reference_and-migration-contract-present","local_quick-smoke-case-declared_not-yet-recorded","qetlab-bsd-2-clause-license-verified","source_reviewed_and_completed_wp9_2026_07_30","Exponential state dimension and PPT partitions are preflighted before allocation. The returned state is a relaxation variable, not a physical strategy certificate.;Numerical results are not independently certified upper bounds, so the compatibility structured=false legacy tuple path rejects them rather than fabricating a scalar certificate.;The solver-neutral PPT clone relaxation corrects the pinned rectangular-setting defect by using Bob's setting count in Bob's loops and dimensions.","CVX solver status and failure semantics require an explicit Julia design","109"
"BrauerStates.m","cdbd6acf49c39c296fe2f4523791e2f3f0d21d93ee741c4499a5fd0b898773b2","d8589610f00cff106537268dee2e2a1153f3a601","BrauerStates","public","function B = BrauerStates(d,p)","d;p","","","1","false","exactly_1_outputs","B","Produces all Brauer states","http://www.qetlab.com/BrauerStates","Nathaniel Johnston (nathaniel@njohnston.ca)","iden;MaxEntangled;opt_args;perfect_matchings;PermuteSystems;Tensor","","MaxEntangled;perfect_matchings;PermuteSystems;Tensor","iden;MaxEntangled;opt_args;perfect_matchings;PermuteSystems;Tensor","","explicit","sparse","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","quantum_states","brauer_states","brauer_states(dim, pairs; T=Float64, max_matchings=100_000, max_nonzeros=1_000_000)","BrauerStates","verified","local_capped_preallocation_guards_sparse_keyword_wrapper_and_exact_octave_fixture_tests_pass_matlab_not_run","api_docstring_focused_page_and_migration_mapping_present","not_started","qetlab-bsd-2-clause-license-verified","manually_reviewed_tier_b_mapping","Function-specific Octave/QETLAB evidence is supplemental and MATLAB was not run.;The perfect-matching column order and values match the tested pinned-QETLAB fixture exactly.","","37"
